node time word
5 2317 1
5 2317 1
5 2317 3
5 2317 1
5 2328 1
5 2328 161
5 2328 3
5 2328 32
5 2328 23
5 2328 32
5 2328 2
5 2339 3
5 2339 2
5 2339 50
5 2339 26
5 2340 36
5 2360 1
5 2360 1
5 2360 39
5 2360 1
5 2360 138
5 2360 2
5 2362 2
5 2362 3
5 2392 2
5 2392 12
5 2393 1
5 2393 1
5 2407 1
5 2407 2
5 2407 98
5 2407 3
5 2407 10
5 2407 1
5 2408 1
5 2408 169
5 2408 1
5 2408 9
5 2408 4
5 2408 2
5 2415 3
5 2415 7
5 2415 1
5 2415 1
5 2415 4
5 2418 1
5 2418 5
5 2418 2
5 2418 7
5 2418 1
5 2418 5
5 2423 157
5 2423 9
5 2423 2
5 2423 1
5 2429 1
5 2431 31
5 2431 1
5 2431 5
5 2431 2
5 2434 5
5 2434 2
5 2434 5
5 2434 2
5 2435 25
5 2435 1
5 2453 1
5 2453 2
5 2453 2
5 2453 1
5 2459 67
5 2459 20
5 2461 5
5 2476 3
5 2476 1
5 2476 844
5 2476 1
5 2481 9
5 2481 10
5 2481 23
5 2481 2
5 2485 6
5 2485 3
5 2485 2
5 2490 1
5 2490 2
5 2490 1
5 2490 14
5 2494 1
5 2496 1
5 2496 8
5 2496 10
5 2496 17
5 2508 20
5 2508 85
5 2509 5
5 2509 2
5 2509 1
5 2509 1
5 2509 1
5 2509 1
5 2520 28
5 2520 9
5 2520 1
5 2520 5
5 2520 33
5 2520 1
5 2520 2
5 2520 178
5 2534 13
5 2534 2
5 2534 179
5 2534 4
5 2534 7
5 2534 1
5 2540 1
5 2562 195
5 2562 1
5 2562 34
5 2562 1
5 2566 13
5 2566 6
5 2566 1
5 2566 15
5 2566 10
5 2588 2
5 2588 245
5 2589 312
5 2593 54
5 2593 19
5 2593 2
5 2593 1
5 2593 3
5 2598 1
5 2598 2
5 2598 7
5 2598 1
5 2599 1
5 2600 2
5 2603 1
5 2603 1
5 2603 26
5 2603 1
5 2607 8
5 2607 1
5 2611 1
5 2611 28
5 2611 255
5 2612 17
5 2612 1
5 2612 1
5 2612 1
5 2616 1
5 2616 1
5 2616 70
5 2616 18
5 2616 3
5 2616 2
5 2616 6
5 2618 1
5 2623 3
5 2623 2
5 2661 78
5 2661 5
5 2661 43
5 2661 23
5 2661 2
5 2661 1
5 2661 1
5 2666 10
5 2666 14
5 2666 1
5 2666 1
5 2666 1
5 2667 44
5 2677 42
5 2677 1
5 2677 22
5 2677 4
5 2687 1
5 2687 2
5 2687 1
5 2687 7
5 2717 10
5 2717 4
5 2717 103
5 2717 5
5 2730 63
5 2730 1
5 2730 1
5 2730 1
5 2735 34
5 2735 4
5 2755 2
5 2755 6
5 2755 94
5 2756 2
5 2756 2
5 2756 15
5 2756 12
5 2757 1
5 2757 3
5 2757 3
5 2757 1
5 2757 1
5 2763 1
5 2763 3
5 2763 1
5 2764 1
5 2764 4
5 2764 3
5 2764 15
5 2764 1
5 2766 51
5 2766 3
5 2766 48
5 2766 37
5 2766 81
5 2766 1
5 2768 1
5 2768 2
5 2768 9
5 2768 11
5 2776 1
5 2776 22
5 2787 2
5 2787 2
5 2787 2
5 2787 31
5 2787 3
