hx_b,hx_w,modularity,mu,p
3.3818649919199997,3.3845970642,-0.167573,0.2,0.1
3.3771129475999997,3.37858949212,-0.16713699999999998,0.2,0.1
3.37455317232,3.3729935964799997,-0.167567,0.2,0.1
3.3726193334,3.37268929536,-0.166649,0.2,0.1
3.3728810263200004,3.37811134364,-0.167975,0.2,0.1
3.37787072428,3.38050697252,-0.16661800000000002,0.2,0.1
3.37467264368,3.37055666108,-0.165925,0.2,0.1
3.37702865408,3.37645030056,-0.168647,0.2,0.1
3.36921772304,3.3722001409600004,-0.165284,0.2,0.1
3.3765022592,3.37608869332,-0.168155,0.2,0.1
3.37114617196,3.37015848752,-0.167124,0.2,0.1
3.37860887236,3.37893067588,-0.166434,0.2,0.1
3.3740614630399994,3.37878716892,-0.169996,0.2,0.1
3.3698967011599996,3.3734056876799996,-0.164432,0.2,0.1
3.3690447628399998,3.3711637068399996,-0.169483,0.2,0.1
3.36540790492,3.36883608108,-0.167876,0.2,0.1
3.3672327135200004,3.3685776598399997,-0.16806600000000002,0.2,0.1
3.3783704005599997,3.3810279392800004,-0.168051,0.2,0.1
3.37153015004,3.3752790643199995,-0.165995,0.2,0.1
3.3707464323200003,3.37119678588,-0.168873,0.2,0.1
3.3781528238800003,3.37654303684,-0.167349,0.2,0.1
3.36586818936,3.3702474963599998,-0.168688,0.2,0.1
3.3669676974800002,3.36754623856,-0.166494,0.2,0.1
3.38093414672,3.37416907704,-0.16479000000000002,0.2,0.1
3.3777137710400003,3.3823029282799997,-0.168656,0.2,0.1
3.3630873226399998,3.37136847192,-0.168449,0.2,0.1
3.37068129784,3.3810564930799996,-0.166774,0.2,0.1
3.37406064284,3.3766830985999996,-0.169572,0.2,0.1
3.3724325945999998,3.37351099944,-0.166804,0.2,0.1
3.3755521738799996,3.37341216772,-0.16660899999999998,0.2,0.1
3.38406795884,3.37940161304,-0.164231,0.2,0.1
3.36320538816,3.36545048668,-0.164699,0.2,0.1
3.36736673868,3.37538855872,-0.166451,0.2,0.1
3.37659281536,3.37535339112,-0.166632,0.2,0.1
3.37402645076,3.3755528414000002,-0.16888499999999998,0.2,0.1
3.37197266312,3.3719235040799993,-0.165068,0.2,0.1
3.3731831884,3.3740488773200004,-0.16788499999999998,0.2,0.1
3.383267373,3.37403504824,-0.164706,0.2,0.1
3.37598661852,3.37813969512,-0.16559400000000002,0.2,0.1
3.379309549,3.3727839758,-0.168354,0.2,0.1
3.3710209509999998,3.36971966652,-0.164528,0.2,0.1
3.3726725061599994,3.36824592116,-0.16786600000000002,0.2,0.1
3.36742592876,3.36678791256,-0.166687,0.2,0.1
3.37193993268,3.3705212663600004,-0.17121,0.2,0.1
3.3837309801199997,3.38558899488,-0.167283,0.2,0.1
3.36703608396,3.3706559612399998,-0.165925,0.2,0.1
3.36401281032,3.36884471136,-0.164911,0.2,0.1
3.37091068828,3.3731336504400002,-0.16977,0.2,0.1
3.3752362204,3.3709881838399998,-0.16658699999999999,0.2,0.1
3.37884453388,3.3734424159199996,-0.16759000000000002,0.2,0.1
3.3779496232399997,3.3837679020800002,-0.164719,0.2,0.1
3.37961199832,3.37855515004,-0.16753900000000002,0.2,0.1
3.36290175028,3.3720000604800004,-0.166479,0.2,0.1
3.3744372202799995,3.37776899508,-0.167302,0.2,0.1
