graph,ego_degree,quote_length,total_matches
clique,2.0,7.0,11.72
clique,2.0,8.0,4.285
clique,2.0,9.0,1.245
clique,2.0,10.0,0.445
clique,2.0,11.0,0.145
clique,2.0,12.0,0.015
clique,2.0,14.0,0.005
clique,3.0,1.0,126702.405
clique,3.0,2.0,35546.14
clique,3.0,3.0,6849.795
clique,3.0,4.0,1068.79
clique,3.0,5.0,177.965
clique,3.0,6.0,37.97
clique,3.0,7.0,11.53
clique,3.0,8.0,4.33
clique,3.0,9.0,1.565
clique,3.0,10.0,0.415
clique,3.0,11.0,0.11
clique,3.0,12.0,0.04
clique,3.0,13.0,0.015
clique,4.0,1.0,169728.52
clique,4.0,2.0,47184.365
clique,4.0,3.0,8994.31
clique,4.0,4.0,1341.67
clique,4.0,5.0,214.21
clique,4.0,6.0,41.49
clique,4.0,7.0,12.865
clique,4.0,8.0,3.98
clique,4.0,9.0,1.46
clique,4.0,10.0,0.415
clique,4.0,11.0,0.095
clique,4.0,12.0,0.045
clique,4.0,13.0,0.01
clique,4.0,14.0,0.005
clique,6.0,1.0,255245.85
clique,6.0,2.0,72330.67
clique,6.0,3.0,13402.84
clique,6.0,4.0,2092.965
clique,6.0,5.0,289.075
clique,6.0,6.0,43.205
clique,6.0,7.0,12.945
clique,6.0,8.0,4.34
clique,6.0,9.0,1.46
clique,6.0,10.0,0.35
clique,6.0,11.0,0.16
clique,6.0,12.0,0.045
clique,6.0,13.0,0.005
clique,6.0,14.0,0.015
clique,8.0,1.0,335652.41
clique,8.0,2.0,94298.165
clique,8.0,3.0,17679.99
clique,8.0,4.0,2574.53
clique,8.0,5.0,334.61
clique,8.0,6.0,51.715
clique,8.0,7.0,12.93
clique,8.0,8.0,4.505
clique,8.0,9.0,1.505
clique,8.0,10.0,0.41
clique,8.0,11.0,0.115
clique,8.0,12.0,0.02
clique,8.0,13.0,0.005
clique,8.0,14.0,0.005
clique,11.0,1.0,449254.315
clique,11.0,2.0,130285.87
clique,11.0,3.0,24347.875
clique,11.0,4.0,3375.795
clique,11.0,5.0,452.19
clique,11.0,6.0,63.61
clique,11.0,7.0,14.715
clique,11.0,8.0,4.16
clique,11.0,9.0,1.29
clique,11.0,10.0,0.385
clique,11.0,11.0,0.115
clique,11.0,12.0,0.03
clique,11.0,13.0,0.01
clique,11.0,14.0,0.01
clique,16.0,1.0,666765.47
clique,16.0,2.0,188923.835
clique,16.0,3.0,34735.195
clique,16.0,4.0,5074.945
clique,16.0,5.0,614.665
clique,16.0,6.0,81.445
clique,16.0,7.0,14.425
clique,16.0,8.0,4.425
clique,16.0,9.0,1.265
clique,16.0,10.0,0.325
clique,16.0,11.0,0.095
clique,16.0,12.0,0.025
clique,16.0,13.0,0.01
clique,22.0,1.0,932739.345
clique,22.0,2.0,253723.55
clique,22.0,3.0,47498.36
clique,22.0,4.0,6676.53
clique,22.0,5.0,728.05
clique,22.0,6.0,97.795
clique,22.0,7.0,16.09
clique,22.0,8.0,4.42
clique,22.0,9.0,1.535
clique,22.0,10.0,0.425
clique,22.0,11.0,0.125
clique,22.0,12.0,0.03
clique,22.0,13.0,0.005
clique,32.0,1.0,1341402.975
clique,32.0,2.0,372873.41
clique,32.0,3.0,65745.905
clique,32.0,4.0,9964.39
clique,32.0,5.0,1149.3
clique,32.0,6.0,130.7
clique,32.0,7.0,18.05
clique,32.0,8.0,4.42
clique,32.0,9.0,1.58
clique,32.0,10.0,0.42
clique,32.0,11.0,0.11
clique,32.0,12.0,0.015
clique,32.0,13.0,0.01
clique,45.0,1.0,1890711.52
clique,45.0,2.0,521628.625
clique,45.0,3.0,96786.275
clique,45.0,4.0,12776.345
clique,45.0,5.0,1573.155
clique,45.0,6.0,178.015
clique,45.0,7.0,21.95
clique,45.0,8.0,4.87
clique,45.0,9.0,1.41
clique,45.0,10.0,0.4
clique,45.0,11.0,0.095
clique,45.0,12.0,0.03
clique,45.0,13.0,0.005
clique,63.0,1.0,2662834.125
clique,63.0,2.0,731604.325
clique,63.0,3.0,134586.08
clique,63.0,4.0,17961.39
clique,63.0,5.0,2070.925
clique,63.0,6.0,233.705
clique,63.0,7.0,28.225
clique,63.0,8.0,5.13
clique,63.0,9.0,1.395
clique,63.0,10.0,0.45
clique,63.0,11.0,0.08
clique,63.0,12.0,0.025
clique,89.0,1.0,3652734.275
clique,89.0,2.0,1029084.2
clique,89.0,3.0,191939.53
clique,89.0,4.0,26159.705
clique,89.0,5.0,2739.44
clique,89.0,6.0,290.78
clique,89.0,7.0,35.015
clique,89.0,8.0,5.665
clique,89.0,9.0,1.445
clique,89.0,10.0,0.385
clique,89.0,11.0,0.13
clique,89.0,12.0,0.01
clique,89.0,13.0,0.01
clique,126.0,1.0,5209564.555
clique,126.0,2.0,1476622.315
clique,126.0,3.0,264356.47
clique,126.0,4.0,37026.275
clique,126.0,5.0,4175.91
clique,126.0,6.0,427.18
clique,126.0,7.0,36.23
clique,126.0,8.0,5.155
clique,126.0,9.0,1.365
clique,126.0,10.0,0.345
clique,126.0,11.0,0.085
clique,126.0,12.0,0.025
clique,126.0,13.0,0.005
clique,126.0,14.0,0.005
clique,178.0,1.0,7312735.73
clique,178.0,2.0,2050045.575
clique,178.0,3.0,380975.945
clique,178.0,4.0,53305.775
clique,178.0,5.0,5910.185
clique,178.0,6.0,620.225
clique,178.0,7.0,55.48
clique,178.0,8.0,5.17
clique,178.0,9.0,1.52
clique,178.0,10.0,0.345
clique,178.0,11.0,0.15
clique,178.0,12.0,0.025
clique,178.0,13.0,0.01
clique,178.0,15.0,0.005
clique,251.0,1.0,10488368.025
clique,251.0,2.0,2936574.63
clique,251.0,3.0,541070.095
clique,251.0,4.0,73725.795
clique,251.0,5.0,8301.55
clique,251.0,6.0,780.815
clique,251.0,7.0,63.315
clique,251.0,8.0,6.43
clique,251.0,9.0,1.615
clique,251.0,10.0,0.35
clique,251.0,11.0,0.16
clique,251.0,12.0,0.015
clique,251.0,13.0,0.01
clique,355.0,1.0,15156561.92
clique,355.0,2.0,4084691.975
clique,355.0,3.0,761078.47
clique,355.0,4.0,109564.3
clique,355.0,5.0,11778.42
clique,355.0,6.0,1260.07
clique,355.0,7.0,74.405
clique,355.0,8.0,14.405
clique,355.0,9.0,2.31
clique,355.0,10.0,0.34
clique,355.0,11.0,0.12
clique,355.0,12.0,0.025
clique,355.0,13.0,0.02
clique,501.0,1.0,20892903.615
clique,501.0,2.0,5892748.245
clique,501.0,3.0,1072904.115
clique,501.0,4.0,145874.35
clique,501.0,5.0,15833.75
clique,501.0,6.0,1667.375
clique,501.0,7.0,174.15
clique,501.0,8.0,10.82
clique,501.0,9.0,1.6
clique,501.0,10.0,0.42
clique,501.0,11.0,0.105
clique,501.0,12.0,0.025
clique,501.0,13.0,0.005
clique,501.0,14.0,0.005
clique,708.0,1.0,29182028.925
clique,708.0,2.0,8122946.685
clique,708.0,3.0,1484203.275
clique,708.0,4.0,207573.4
clique,708.0,5.0,22452.335
clique,708.0,6.0,2322.17
clique,708.0,7.0,155.33
clique,708.0,8.0,13.685
clique,708.0,9.0,1.56
clique,708.0,10.0,0.685
clique,708.0,11.0,0.135
clique,708.0,12.0,0.03
clique,1000.0,1.0,41926896.425
clique,1000.0,2.0,11452939.02
clique,1000.0,3.0,2101381.85
clique,1000.0,4.0,292730.4
clique,1000.0,5.0,30266.235
clique,1000.0,6.0,3069.255
clique,1000.0,7.0,282.53
clique,1000.0,8.0,37.185
clique,1000.0,9.0,3.285
clique,1000.0,10.0,0.61
clique,1000.0,11.0,0.11
clique,1000.0,12.0,0.01
clique,1000.0,13.0,0.005
